ID_REF,GSM759848,GSM759849,GSM759850,GSM759851,GSM759852
1759068_at,1.366155,2.349217,1.99361,0.7012348,1.535393
1759069_at,787.4631,785.9443,621.4311,694.1091,510.7999
1759070_s_at,824.754,691.9721,559.7317,792.2771,407.7242
1759071_s_at,452.8507,489.3894,327.1877,534.8737,244.1755
1759072_s_at,2.16028,1.580441,2.824951,12.68401,2.240029
1759073_at,12.29388,8.271278,6.498219,11.14984,19.74605
1759074_at,0.7541916,0.1577577,19.7333,1.13757,0.2889004
1759075_at,433.2957,501.6735,340.7043,412.1682,218.5492
1759076_s_at,1155.757,942.9183,812.0842,1082.123,337.8687
1759077_s_at,9.535213,9.431593,4.496235,10.29167,13.37916
1759078_at,0.6964828,2.509442,1.234902,1.404122,4.512806
1759079_at,51.2572,46.11671,30.44055,46.90423,58.89131
1759080_s_at,7.690658,2.679009,5.727306,2.387597,6.148728
1759081_s_at,790.4916,833.3875,520.1099,857.8761,209.9121
1759082_s_at,710.4029,584.0905,471.626,814.8176,225.6665
1759083_at,382.0973,664.6932,314.8041,364.5922,372.0939
1759084_s_at,783.8463,605.3423,584.393,795.0635,418.7556
1759085_at,57.7022,64.22981,69.60986,31.44344,88.16499
1759086_s_at,0.6153188,0.5928739,0.8372401,0.6728552,2.332633
1759087_s_at,16.77182,12.46972,25.90407,2.515591,34.96459
1759088_s_at,740.9827,622.5768,498.3116,780.0543,740.6279
1759089_s_at,746.3499,595.0682,526.0555,766.2164,285.1354
1759090_at,0.6001076,0.7179123,16.50419,3.781555,3.505455
1759091_at,590.2204,568.9186,504.2253,680.6552,256.629
1759092_s_at,851.4536,743.6086,371.2586,774.5743,364.2707
1759093_s_at,0.5682095,0.3661217,1.223912,0.5949862,2.898896
1759094_s_at,1.657518,13.37498,6.663062,7.925014,5.621779
1759095_s_at,709.3447,694.2203,655.2276,925.4878,430.1216
1759096_at,15.6713,12.35143,0.9847396,8.264732,39.25242
1759097_at,80.25033,131.1034,153.0413,107.549,198.0146
1759098_s_at,638.3329,650.2408,447.4185,545.6812,136.8644
1759099_at,3.331556,2.822445,3.514396,5.182423,3.61258
1759100_s_at,470.5561,439.2426,357.8698,387.3955,290.1507
1759101_s_at,8.270246,9.902864,15.71278,2.007473,3.126309
1759102_s_at,746.1279,642.4278,501.0147,699.4908,831.5539
1759103_s_at,780.4536,581.6877,392.4738,971.3096,297.3587
1759104_at,1.73227,1.109789,10.16681,4.19675,20.0041
1759105_s_at,1267.89,1089.683,931.5475,1049.88,1050.99
1759106_s_at,2264.949,2389.781,3689.828,2475.049,3425.158
1759107_s_at,12.8226,12.30707,22.33779,11.04647,29.85376
1759108_s_at,1163.817,1286.735,1315.765,972.5085,2207.638
1759109_s_at,812.8411,759.8021,759.3649,1024.084,803.7214
1759110_s_at,1138.539,1320.614,1391.25,1511.649,852.6581
1759111_at,578.8238,740.4306,433.6575,562.6316,796.5288
1759112_at,1.633488,3.582286,1.530738,1.286683,2.268526
1759113_s_at,1589.978,2004.88,2017.108,1597.611,2622.555
1759114_s_at,647.4964,670.5823,268.002,553.2513,277.8583
1759115_s_at,851.6569,668.2516,368.8825,829.667,233.9713
1759116_at,5.034808,0.6646816,19.10182,3.046786,1.014964
1759117_s_at,983.5931,1124.591,697.5408,1002.388,1211.709
1759118_s_at,50.16309,33.3694,57.52728,48.68651,52.96445
1759119_s_at,821.8444,801.6997,348.9484,640.4941,308.2551
1759120_s_at,622.5561,879.2603,413.8789,664.8635,329.2749
1759121_at,0.2675327,0.1335742,0.6570565,0.403881,0.7533339
1759122_s_at,3044.876,3466.818,6207.692,3250.453,8876.1
1759123_at,1.530989,1.09435,1.273862,0.9191988,1.457196
1759124_s_at,428.0583,445.5696,216.921,391.8257,175.1774
1759125_at,1.016818,0.6074215,0.9019063,6.361657,1.067438
1759126_at,19.94562,35.19958,30.52941,15.91648,22.42945
1759127_s_at,1030.234,781.7265,471.7563,1018.522,336.7481
1759128_at,13.68562,6.825885,9.978596,3.002146,2.043534
1759129_s_at,1133.737,1109.145,1115.358,944.2079,1527.113
1759130_s_at,499.6151,406.5652,187.638,427.597,300.9931
1759131_s_at,477.5623,567.2693,350.9586,595.9597,174.2772
1759132_at,1192.869,1119.614,1018.331,1425.372,987.7667
1759133_s_at,521.1962,492.2911,329.1807,561.2126,221.5701
1759134_s_at,851.7508,687.8066,301.626,766.8574,239.8694
1759135_s_at,722.3522,783.3203,351.3913,715.3031,234.0954
1759136_s_at,893.173,964.6062,1056.791,921.9718,1920.271
1759137_s_at,551.6736,513.8563,337.8965,389.9545,488.5545
1759138_s_at,699.94,559.9196,303.9315,645.0242,267.0125
1759139_s_at,3.43459,9.552616,15.64326,16.12644,44.49498
1759140_s_at,9.296174,10.54771,26.79513,11.46959,17.70257
1759141_x_at,198.8811,185.8563,93.351,279.7449,110.4103
1759142_at,24.51691,29.20912,14.43015,18.80914,32.75371
1759143_at,0.6053352,0.7195773,7.158821,3.249187,0.5435979
1759144_at,18.25881,10.35825,2.481373,14.74427,14.69095
1759145_at,6.268287,0.8898906,6.408579,3.093548,1.061819
1759146_at,5.371438,20.73536,23.64,11.98568,6.785387
1759147_at,1.905568,1.304967,5.675681,5.275383,0.9541388
1759148_s_at,3.397777,7.090775,12.76604,5.808865,6.725955
1759149_at,13.9429,18.13223,32.30589,5.448801,37.9292
1759150_at,11.94282,14.09948,0.7344894,13.20494,16.08574
1759151_s_at,814.0327,1010.381,842.4314,912.8414,645.2457
1759152_at,12.71222,11.88105,9.0222,1.055017,28.79844
1759153_s_at,74.62799,60.58306,19.61899,44.20984,14.0417
1759154_at,1.268233,6.205468,10.49428,0.8817021,4.247322
1759155_s_at,363.6119,478.8423,244.0138,462.5677,109.6226
1759156_s_at,1.319866,0.7192891,7.15577,1.945758,10.78943
1759157_s_at,794.4761,686.4077,605.6675,837.8332,596.5941
1759158_s_at,2.970097,1.21422,9.998452,3.931027,13.94313
1759159_s_at,1229.15,960.894,607.1953,1324.308,368.4903
1759160_s_at,0.7390521,11.72552,14.09593,0.6694422,2.201694
1759161_s_at,140.5549,128.0255,105.7754,160.7771,112.6187
1759162_at,656.1522,760.0648,441.5846,708.5457,268.3313
1759163_s_at,971.9609,958.0532,456.0994,862.8576,475.3615
1759164_s_at,1353.569,1477.942,1768.542,1094.26,2564.544
1759165_at,7.355545,11.80041,17.70885,14.39378,17.60638
1759166_s_at,881.9814,739.4113,625.0359,816.7919,633.5894
1759167_at,4.951495,7.052795,24.88392,21.23297,6.803998
1759168_at,0.6477135,6.844144,0.6611359,5.681301,0.5159859
1759169_at,5.494206,1.83886,12.72605,1.138914,1.325539
1759170_s_at,1021.125,1039.01,1269.705,1093.768,2367.936
1759171_s_at,722.8695,777.4539,631.7365,907.2378,753.7465
1759172_s_at,6.10604,6.082779,3.673273,2.690572,3.004314
1759173_s_at,185.258,334.9987,134.069,165.3848,144.729
1759174_s_at,373.827,346.5114,272.3008,315.3878,177.5058
1759176_s_at,358.7694,428.8914,351.9169,503.0022,321.3026
1759177_s_at,4.974596,8.321717,6.935499,4.555278,10.42571
1759178_s_at,693.6651,729.8375,611.4551,702.2916,705.0078
1759179_s_at,833.298,683.725,515.8563,696.6212,397.8692
1759180_x_at,96.80656,64.12551,81.26546,34.99109,57.05489
1759181_s_at,709.1028,700.541,576.9255,697.8102,559.806
1759182_s_at,940.9883,886.9865,506.0431,892.889,326.2261
1759183_at,5.29682,1.347054,8.20144,0.3630363,5.967346
1759184_at,7.275934,12.25176,18.11571,7.518329,12.12037
1759185_s_at,739.7778,803.4324,667.2057,695.5076,562.1203
1759186_s_at,1072.97,974.0419,847.0214,1121.678,444.1363
1759187_at,4466.6,5195.782,14966.28,7135.99,8120.389
1759188_s_at,1150.005,1241.537,1116.876,1086.578,992.4346
1759189_s_at,694.993,643.4172,499.6006,753.3517,298.8569
1759190_s_at,909.4108,724.082,384.9799,748.1656,399.4017
1759191_s_at,1220.084,998.6725,846.2792,1194.31,1214.622
1759192_at,10.936,17.98347,14.54054,1.125827,13.42592
1759193_s_at,1087.678,922.9337,997.6712,986.4666,1024.23
1759194_s_at,213.7406,161.5229,98.74643,165.0674,83.20306
1759195_s_at,634.2412,686.9538,282.9938,551.5741,212.0714
1759196_s_at,1817.657,2076.992,1533.391,1246.281,3068.946
1759197_s_at,410.6491,551.8,267.7579,464.1896,309.2069
1759198_s_at,618.384,650.9104,504.1182,702.0836,509.1453
1759199_s_at,6.060794,12.58803,12.2225,9.371357,7.061988
1759200_s_at,604.7606,670.941,317.049,622.1357,212.9792
1759201_s_at,692.3183,616.3351,314.5094,643.6748,194.3842
1759202_s_at,674.3892,509.9733,476.6057,532.9308,197.5007
1759203_at,83.63729,65.04005,43.30107,37.05487,73.37856
1759204_at,25.81085,27.69528,48.88482,37.47123,59.44704
1759205_at,2.945962,4.87436,3.574203,0.4247238,1.229513
1759206_s_at,30.68293,14.40087,55.92702,27.79915,8.152383
1759207_at,526.5312,719.9351,414.4272,588.1527,145.3943
1759208_at,876.1589,1016.781,657.7615,926.5847,493.5325
1759209_s_at,674.9894,572.0698,462.8561,695.201,425.1457
1759210_s_at,711.3605,768.0742,557.3949,787.7937,271.0629
1759211_s_at,666.5966,657.7222,349.209,646.9402,149.24
1759212_s_at,1275.501,1146.036,761.0991,1137.441,1166.692
1759213_s_at,644.7714,682.1977,3684.658,1046.125,1674.263
1759214_at,2.536294,2.087069,4.216647,1.008929,0.9124387
1759215_s_at,723.3557,571.9874,469.7899,669.4018,602.3065
1759216_s_at,764.9786,746.7429,525.8939,868.5688,403.0946
1759217_s_at,24.19407,22.87684,22.93764,31.69545,53.95238
1759218_s_at,1002.021,1019.14,723.2469,750.5087,836.5059
1759219_s_at,719.5295,639.6624,599.1706,720.5972,346.4724
1759220_s_at,557.5239,653.1357,411.8982,725.49,263.3941
1759221_s_at,10.76266,2.382492,13.07309,1.937957,7.426928
1759222_at,6.814783,12.4503,4.877125,11.41838,15.20559
1759223_at,0.7296594,3.462653,0.1769107,3.476736,1.371083
1759224_s_at,403.887,392.9261,245.2175,453.3011,144.9593
1759225_s_at,10.56097,2.980133,8.198675,13.66177,23.88422
1759226_s_at,1226.417,1343.191,1215.276,1134.638,1633.455
1759227_s_at,791.5201,767.3525,667.4377,885.603,320.6393
1759228_s_at,942.5896,868.897,687.6054,909.3795,444.7804
1759229_s_at,627.9486,527.8057,505.5953,728.22,310.5655
1759230_s_at,874.0561,749.2775,530.8921,991.6532,443.076
1759231_s_at,1757.615,1821.734,2985.74,1801.591,2783.474
1759232_s_at,813.2103,766.3079,460.9188,731.8514,380.8976
1759233_at,2.729803,8.038529,14.92341,2.422881,2.45968
1759234_s_at,1.144197,1.020704,1.289298,0.8190749,1.897349
1759235_at,3197.339,3237.534,3527.832,2951.697,6314.916
1759236_s_at,25.90025,105.0904,30.28545,78.80142,19.3765
1759237_s_at,920.0084,865.79,453.6722,808.423,249.0269
1759238_s_at,0.6206494,0.8268872,2.350488,0.5804523,0.8505914
1759239_s_at,2249.928,2157.936,2520.306,1534.024,1181.94
1759240_s_at,576.7938,643.8392,371.2684,547.2454,282.462
1759241_at,124.4836,132.0159,103.8652,108.7551,117.9405
1759242_s_at,822.4298,661.3723,673.918,852.0792,539.4406
1759243_at,16.52616,18.35716,16.66899,14.22578,19.81298
1759244_at,0.66273,1.437674,0.1880365,3.513056,9.190934
1759245_s_at,1048.13,1063.057,1217.112,1360.978,799.3988
1759246_s_at,0.929607,0.9084663,1.659799,0.761782,1.873334
1759247_at,0.5970382,0.9113421,0.8234504,0.3199097,1.405648
1759248_at,1177.234,995.2878,1192.619,891.0011,846.5209
1759249_at,16.00296,11.59871,12.68435,8.496312,15.68353
1759250_at,13.20565,11.70768,37.77056,17.33614,12.06239
1759251_s_at,18.56466,13.31,21.22405,4.894081,19.26509
1759252_s_at,576.4038,679.7381,417.2277,446.1498,430.3571
1759253_at,13.17431,16.45968,20.86415,13.94458,28.22563
1759254_at,1155.67,1042.652,1477.826,1539.779,876.0103
1759255_at,6.164383,7.762341,9.879517,9.790747,16.63192
1759256_s_at,735.816,448.9168,334.8751,669.8246,181.591
1759257_s_at,698.5427,789.9016,424.7645,683.686,266.1733
1759258_s_at,2.3914,12.17142,15.99841,1.411584,25.33541
1759259_at,835.4369,729.8153,538.9581,749.8798,429.3058
1759260_s_at,197.7022,143.5989,109.6175,165.2659,74.35258
1759261_at,15.38459,20.34486,2.918547,11.96824,2.189534
1759262_at,11.79451,7.620183,11.76796,7.97381,26.67641
1759263_at,24.01395,12.64498,37.01307,15.23424,31.4898
1759264_s_at,761.3569,550.6831,365.3562,638.9937,254.6052
1759265_s_at,632.9534,600.1512,395.046,513.9816,495.9208
1759266_at,14.77545,27.99952,17.52848,28.47937,3.846925
1759267_at,1.958261,3.397335,23.19988,5.394658,7.995302
1759268_at,18.84716,13.74656,19.25817,23.25611,28.70856
1759269_at,2.304,7.128328,10.97628,7.682415,0.8815792
1759270_s_at,206.0472,288.2833,224.9475,198.4049,321.544
1759271_at,1.636063,3.221209,3.317707,0.2580731,5.500902
1759272_at,5.300938,2.45823,4.877155,3.054907,1.114929
1759273_at,82.72159,62.06741,153.5577,89.1512,42.04864
1759274_s_at,712.4849,744.4948,626.7977,919.933,342.6111
1759275_at,0.1784813,0.3206411,8.96865,1.287979,8.27421
1759276_s_at,2.769192,3.537763,1.294586,3.253614,0.4335231
1759277_at,28.64106,30.62442,38.32318,24.73837,32.18288
1759278_at,187.3363,322.1385,130.9749,203.6363,92.94333
1759279_at,6.58159,8.294456,14.13933,12.33459,18.65814
1759280_s_at,9.993414,9.288894,6.154024,3.525416,5.743914
1759281_at,159.592,157.2592,176.6675,123.2924,245.8706
1759282_at,12.77112,1.624534,12.52162,1.389555,15.56474
1759283_s_at,768.649,544.5341,397.8842,839.7378,293.2624
1759284_at,2.065539,4.625174,20.66869,4.557881,2.551376
1759285_s_at,494.02,593.8438,288.6762,568.2712,243.6588
1759286_s_at,7.769652,4.281114,19.4163,3.351219,19.29561
1759287_s_at,662.4861,662.6299,603.3088,637.6939,562.7758
1759288_s_at,17.33602,9.168303,16.69262,15.42215,15.60679
1759289_s_at,469.6624,448.2437,219.8642,505.8947,243.8289
1759290_at,13.94536,9.722456,1.467847,11.11925,8.607471
1759291_s_at,1670.805,1813.574,2003.95,1294.644,2949.42
1759292_x_at,20.19175,26.54142,24.09474,18.07915,5.615285
1759293_s_at,2159.921,2245.009,3525.64,2092.514,4792.312
1759294_at,4.107547,1.610314,8.337924,6.375269,25.6104
1759295_s_at,741.0865,855.7394,699.0234,943.6264,428.0553
1759296_s_at,3.236015,3.101502,1.066748,3.261762,1.401343
1759297_s_at,519.1218,542.0342,383.2419,631.8627,479.9474
1759298_s_at,731.7388,538.5854,479.2012,603.689,233.5318
1759299_s_at,1248.121,1245.387,1469.633,1254.313,1109.329
1759300_at,5.733904,1.067222,1.757252,3.971672,17.45195
1759301_s_at,7.101726,3.414901,2.305964,4.098037,9.801545
1759302_s_at,595.7134,592.1523,386.6082,671.3872,436.3651
1759303_s_at,947.8468,970.6424,756.3535,821.8591,503.3403
1759304_s_at,1162.281,1054.314,1056.414,831.7817,1499.749
1759305_s_at,512.9046,467.6834,352.3157,580.8119,243.2573
1759306_at,18.25979,21.75936,22.80882,10.85517,24.56386
1759307_s_at,261.2019,479.7057,152.1826,311.9417,99.54921
1759308_s_at,12.75298,11.10699,14.10054,2.207315,11.63988
1759309_s_at,2469.87,2510.507,4878.856,2875.79,3385.6
1759310_at,44.22891,35.62878,44.35096,78.55849,54.07936
1759311_s_at,650.6096,550.1224,379.6998,709.2584,213.9202
1759312_at,8.76194,2.835062,27.43072,2.770116,7.520597
1759313_s_at,633.3987,767.6509,462.251,523.9764,498.1251
1759314_s_at,686.0886,896.9943,539.0275,607.1239,476.4528
1759315_s_at,3.117865,16.1546,17.46609,11.72819,9.560907
1759316_at,0.4428991,0.8044806,0.9646299,7.141285,2.406808
1759317_at,1.056351,4.115236,3.908172,4.60364,1.910805
1759318_s_at,861.8093,717.9366,656.0922,864.8746,348.7537
1759319_s_at,0.7748036,4.229296,8.17263,2.512527,13.72655
1759321_s_at,557.9328,454.7623,241.3331,432.9138,299.6987
1759322_at,860.6223,884.5729,653.4286,909.2214,332.4136
1759323_at,13.2162,10.40577,14.69297,10.44092,28.7765
1759324_s_at,635.7057,587.3327,676.437,699.6171,266.4266
1759325_at,51.62845,22.54905,27.93044,5.739269,8.017193
1759326_at,545.5308,469.9404,341.0173,504.0993,233.5392
1759327_s_at,3.642756,1.345251,2.119914,1.0223,1.510114
1759328_s_at,880.4448,842.9047,612.8098,1092.343,344.5125
1759329_s_at,552.5313,457.3141,247.4538,451.4053,160.013
1759330_at,218.2814,296.7092,110.7639,315.6103,59.18064
1759331_s_at,774.9297,534.4028,397.2094,638.281,514.4117
1759332_s_at,872.9694,704.9868,561.5681,1075.72,763.3689
1759333_s_at,1965.875,2393.413,3011.58,1730.003,3793.582
1759334_s_at,607.7394,536.1429,535.4584,742.4757,437.4883
1759335_s_at,867.9163,702.7789,649.9647,800.1678,270.6134
1759336_at,1159.995,916.9935,642.5766,1266.209,605.9381
1759337_s_at,1836.094,2213.181,2240.277,2271.708,4154.909
1759338_s_at,410.9388,412.6328,249.4846,408.77,163.9511
1759339_at,1255.913,1162.482,661.1294,1347.626,769.8152
1759340_s_at,2.996819,1.178299,1.88787,7.54945,1.917821
1759341_s_at,0.03231253,0.1653527,0.676724,1.731817,1.117132
1759342_s_at,2.83075,4.21984,1.92814,0.6907065,1.345327
1759343_s_at,1114.636,1179.667,1097.168,1103.161,1487.411
1759344_s_at,0.8715838,0.7017748,14.41483,0.5971062,10.98151
1759345_s_at,763.5307,761.5751,459.4693,717.0665,369.5871
1759346_s_at,1215.26,931.285,919.2028,1329.421,762.8695
1759347_s_at,1027.616,989.5685,1135.941,1125.019,1109.185
1759348_s_at,0.2361997,0.5374764,0.2584282,0.3314381,0.2268913
1759349_s_at,508.37,609.1345,395.6347,658.9492,196.0448
1759350_s_at,3.318461,3.214197,0.8560796,7.207716,10.67496
1759351_s_at,1.065529,0.5292098,0.7937735,2.446423,1.746276
1759352_s_at,4457.132,5158.79,15802.63,6201.266,12210.17
1759353_at,11.71336,7.403262,8.910471,7.435603,25.75758
1759354_at,6.247758,7.899202,0.9087449,3.302065,5.161306
1759355_s_at,0.3728106,0.607262,1.80928,0.9606194,8.61339
1759356_at,2.641308,10.43268,1.242834,7.881201,14.48935
1759357_at,37.94585,55.58181,87.1465,77.58501,150.5673
1759358_s_at,262.8323,340.9264,240.5932,364.973,205.6786
1759359_at,10.69675,7.030915,17.83085,9.882603,15.61299
1759360_s_at,593.0468,366.5276,195.3859,449.5849,161.8786
1759361_s_at,717.0799,749.9008,399.5248,695.0347,180.7144
1759362_s_at,950.0775,676.5544,1359.126,1050.195,1016.881
1759363_s_at,11.55018,11.77693,2.026231,5.179431,26.50571
1759364_s_at,2.700171,0.2752122,0.1677289,1.938222,2.575369
1759365_s_at,793.9028,670.3,356.1635,820.3784,231.0748
1759366_at,1287.289,1064.396,994.1432,1398.258,608.8829
1759367_at,68.67512,104.6858,24.707,73.71547,26.43315
1759368_s_at,2057.358,2019.059,2523.02,2209.095,1911.514
1759369_at,0.4006149,3.563761,1.073579,0.5309588,1.593667
1759370_s_at,893.7725,687.9094,660.675,987.3023,506.9272
1759371_s_at,1.092726,0.192521,5.389463,7.130563,12.1585
1759372_at,0.6313645,0.1950956,2.197478,4.106065,1.212312
1759373_s_at,951.6659,949.5485,501.2774,696.7368,433.7693
1759374_s_at,3317.584,3705.046,7986.774,3840.634,8697.13
1759375_s_at,294.8431,489.8801,309.0665,382.5555,102.3356
1759376_s_at,1582.153,1839.041,2440.223,1653.793,2104.561
1759377_s_at,329.9609,378.3315,165.1953,351.4282,148.2132
1759378_s_at,6.052866,0.7302381,2.059906,1.073384,12.7823
1759379_s_at,872.8649,917.0814,1100.298,921.3248,1327.688
1759380_s_at,359.8863,427.501,319.2172,451.7149,179.5213
1759381_s_at,522.0217,609.014,474.7621,434.3766,399.6571
1759382_s_at,1945.835,2237.124,2384.393,1772.383,1750.327
1759383_s_at,94.81076,116.1808,47.55178,95.49346,72.32288
1759384_s_at,688.6227,726.692,632.1161,715.9237,668.3157
1759385_s_at,1.015191,2.24864,3.782268,0.3203519,0.9581243
1759386_x_at,271.0494,464.4955,712.764,597.7655,1460.466
1759387_s_at,1165.097,1048.048,940.0923,923.0549,924.3257
1759388_at,451.3045,401.4266,213.1109,490.247,126.7146
1759389_s_at,932.6685,912.043,790.9102,1065.013,621.6643
1759390_s_at,476.3453,517.1707,361.8602,447.2613,240.0667
1759391_s_at,489.4304,521.4752,351.8875,757.9598,188.7339
1759392_at,6.222311,10.18204,17.87503,6.765065,28.99258
1759393_s_at,847.1885,903.2031,964.1047,794.5743,1687.351
1759394_s_at,2.309946,5.076272,3.767738,4.629168,3.427945
1759395_s_at,4817.606,4863.437,11197.34,6028.954,9800.562
1759396_at,1.841552,11.77523,8.113033,11.19168,7.719952
1759397_at,3.04569,9.315704,1.24332,4.911141,0.8885081
1759398_s_at,1.346842,0.9056282,1.236794,1.230313,1.247615
1759399_s_at,706.1895,609.0624,467.887,590.0959,668.7881
1759400_s_at,825.3467,783.9294,329.751,725.465,181.599
1759401_at,0.8637559,0.5114067,18.43538,0.8968786,11.30726
1759402_s_at,0.6717907,0.6843156,9.720443,0.1981713,1.448499
1759403_s_at,8.246643,2.836432,5.261154,0.6632491,0.4203537
1759404_s_at,24.28543,13.23713,17.20764,17.74629,36.57862
1759405_s_at,0.7968195,2.145985,2.478715,1.407606,1.705608
1759406_s_at,0.7000994,1.590155,1.014652,4.290203,7.995629
1759407_s_at,503.9817,415.9463,252.0931,700.057,203.1983
1759408_s_at,526.5977,599.2104,383.688,501.3673,307.8266
1759409_s_at,3.358775,2.642747,0.8009874,0.1759731,8.855368
1759410_s_at,552.1709,566.8105,307.809,391.3572,264.34
1759411_at,157.1927,247.084,226.2029,325.8402,369.3644
1759412_at,3.20085,6.456615,21.43019,0.9405761,12.36837
1759413_at,59.90472,50.38416,40.30713,36.85954,124.3892
1759414_s_at,1336.254,1178.406,1512.453,1222.447,1229.662
1759415_at,2.28369,2.871481,1.571517,0.5910046,1.413675
1759416_s_at,0.3458033,0.236393,5.773301,0.1753193,0.373616
1759417_at,628.2297,717.063,278.1862,618.2994,252.9339
1759418_at,1.516458,2.919589,17.64141,8.821417,5.451631
1759419_at,2.098735,5.775764,12.92071,0.3855219,12.21871
1759420_s_at,0.3537894,1.194425,13.00011,1.44814,13.06722
1759421_s_at,1809.484,2945.918,3598.574,1574.706,4455.61
1759422_at,0.9677349,0.6657162,2.976558,8.598401,2.021176
1759423_x_at,39.38408,29.6946,12.7727,33.64808,42.47566
1759424_at,0.8149979,1.73455,2.283693,3.122327,0.7151765
1759425_s_at,1212.295,1049.129,727.3722,1034.249,2369.021
1759426_at,1.300371,0.6832528,0.5297996,0.6933708,9.925416
1759427_s_at,586.8804,443.7976,2231.996,746.8335,662.0039
1759428_s_at,739.1946,793.1152,651.1343,699.1506,821.9669
1759429_s_at,669.6041,764.5668,423.5065,618.3301,691.8341
1759430_s_at,648.7242,764.2641,502.6189,537.3807,718.886
1759431_s_at,1261.714,1122.789,1208.477,1238.871,934.855
1759432_s_at,1789.348,1691.897,1939.506,1469.859,1026.883
1759433_s_at,3930.46,3163.26,8934.137,3966.503,10461.92
1759434_s_at,1523.776,1599.82,2882.937,1771.128,3565.507
1759435_at,774.15,573.0955,524.8485,740.7427,582.6656
1759436_at,708.3752,601.6296,349.8492,699.188,158.0075
1759437_s_at,767.1252,735.4238,308.13,600.8596,322.4459
1759438_s_at,2751.708,3143.463,4707.713,3000.552,5124.706
1759439_at,1465.202,1633.42,9597.705,2180.203,11427.27
1759440_at,582.088,527.5455,410.589,582.0564,439.5104
1759441_s_at,342.179,357.737,163.777,354.2738,147.298
1759442_at,9.19875,3.950899,6.081768,1.869144,13.22052
1759443_s_at,1.364376,5.88312,5.609778,1.142497,2.284844
1759444_at,1.922793,2.099792,1.924311,2.033949,2.147251
1759445_s_at,741.9443,566.0104,469.8834,783.6893,279.5402
1759446_s_at,929.1559,987.6426,417.2944,707.6381,358.3533
1759447_s_at,730.2548,678.0651,339.9849,693.4963,218.5252
1759448_at,7.929916,0.7739244,11.08527,6.461169,4.821807
1759449_at,21.8954,29.64389,15.90997,17.16556,26.34361
1759450_s_at,1.021332,1.351992,11.68185,4.998232,9.190419
1759451_s_at,0.2981051,0.4163066,0.7439169,0.2684555,0.4760267
1759452_at,557.754,469.9296,371.9796,592.7059,255.0706
1759453_at,3.983653,7.127698,10.51902,7.968275,25.66232
1759454_s_at,328.3538,377.8903,195.8031,335.7737,189.1603
1759455_at,2215.146,2373.41,3876.424,1926.7,4359.531
1759456_at,0.2635937,0.5250557,5.705036,0.8209628,1.82947
1759457_at,0.313095,2.623386,4.634531,1.691114,7.776937
1759458_s_at,1.203255,2.149366,8.383527,1.281798,2.089934
1759459_s_at,800.5683,776.48,712.254,741.6923,835.952
1759460_s_at,1.352069,6.230685,15.72319,10.76427,12.61694
1759461_s_at,11.13097,23.79501,7.250298,16.37985,20.3202
1759462_s_at,15.02163,11.19745,13.63774,9.764215,11.37089
1759463_at,8.755789,8.885264,1.928472,2.970628,6.697865
1759464_x_at,958.7828,1149.735,691.7327,1182.786,896.5995
1759465_at,0.7124826,0.6719227,2.480834,0.5935929,2.201258
1759466_at,22.86649,22.10181,33.33908,24.74563,34.41683
1759467_s_at,1298.365,1629.317,1624.658,1052.974,904.3119
1759468_at,3.469483,0.5516686,4.807846,1.055533,1.251357
1759469_s_at,442.786,358.422,155.504,395.5096,103.1685
1759470_s_at,697.1855,833.9606,549.0018,931.3568,400.3925
1759471_s_at,1000.165,1401.401,868.1307,1035.693,3372.865
1759472_s_at,0.3661442,2.663231,12.11093,0.8843406,11.26724
1759473_s_at,3.667587,1.952395,3.470521,16.82879,8.476763
1759474_at,45.90192,49.73018,10.65496,29.70117,32.26228
1759475_at,94.90764,117.3218,57.42102,167.3186,41.2472
1759476_at,0.3676384,0.1971398,1.358396,0.7857534,29.84748
1759477_s_at,911.3672,951.5366,558.0644,883.4624,557.163
1759478_at,748.5659,705.4105,331.8225,661.265,156.0201
1759479_s_at,515.5935,448.2014,287.7235,538.1617,187.2462
1759480_s_at,1417.525,1421.871,2372.527,1720.66,2555.937
1759481_at,75.49944,153.8151,168.923,58.12431,84.981
1759482_at,0.6953355,0.4603063,0.5153136,0.6055983,2.051925
1759483_at,7.457444,1.099152,5.759381,4.515141,2.689523
1759484_at,2.78422,1.872018,0.416257,1.837345,0.3701732
1759485_s_at,537.9981,414.8295,314.7033,531.3363,389.5481
1759486_s_at,4.554176,3.27088,0.9632053,4.389281,19.31343
1759487_at,65.29778,120.9399,43.90414,33.12066,130.7516
1759488_at,2.378722,1.948705,3.172827,2.246785,3.882178
1759489_s_at,9.837188,12.11782,10.21722,9.799618,2.437191
1759490_s_at,1971.511,1734.217,4496.327,1949.613,5072.721
1759491_s_at,387.1546,420.5368,325.6331,420.0829,337.8116
1759492_s_at,2.399074,1.341872,2.366631,0.5420806,3.320056
1759493_s_at,521.5802,547.1591,336.97,542.6933,276.5297
1759494_s_at,511.079,516.889,270.1429,460.0255,214.3981
1759495_s_at,334.9453,435.4729,273.047,532.0688,92.13866
1759496_s_at,1462.467,1490.766,2174.296,1470.13,1497.08
1759497_s_at,672.3358,603.9985,569.5332,682.8346,275.2773
1759498_s_at,41.91946,47.21131,28.42232,26.69167,34.01728
1759499_at,1.23552,0.6353039,0.7762847,0.6543652,4.305553
1759500_s_at,870.3615,667.6768,517.8187,782.55,404.5623
